Key,English,German,Russian,French,Portuguese,Japanese,Chinese,Spanish
enemy_descriptions.slime_small,"Wandered into the cellar and ate someone's boots. Nearly harmless, but sticks to you with a stink.","Ist in den Keller gekrochen und hat jemandes Stiefel gefressen. Fast harmlos, klebt aber stinkend an dir.","Забрелся в погреб и съел чьё-то сапоги. Почти безобидный, но вонюче прилипает.","S'est glissé dans la cave et a mangé les bottes de quelqu'un. Presque inoffensif, mais il colle et pue.","Entrou no porão e comeu as botas de alguém. Quase inofensivo, mas gruda em você com um cheiro terrível.","地下室に迷い込んで誰かの長靴を食べた。ほぼ無害だが、臭くまとわりついてくる。","溜进地窖啃了别人的靴子。几乎无害，但会臭烘烘地黏住你。","Se metió en el sótano y se comió las botas de alguien. Casi inofensivo, pero se pega a ti y apesta."
enemy_descriptions.slime,"Grew fat on scraps from the tavern kitchen. Slow, but it will swallow anyone who dawdles.","Ist an Küchenabfällen der Taverne gewachsen. Langsam, verschlingt aber jeden, der trödelt.","Разросся на объедках с кухни трактира. Медленный, но затянет в себя зазевавшегося.","A grossi sur les restes de la cuisine de la taverne. Lent, mais il engloutit quiconque traîne.","Cresceu com as sobras da cozinha da taverna. Lento, mas engole quem se distrai.","酒場の厨房の残飯で育った。動きは鈍いが、油断した者を飲み込む。","靠酒馆厨房的剩饭长大。行动迟缓，却会吞掉发呆的人。","Engordó con las sobras de la cocina de la taberna. Lento, pero se traga a cualquiera que se descuide."
enemy_descriptions.slime_big,"Ate its smaller kin and swelled up to the size of a barrel. Slow, but it crushes with sheer mass.","Hat seine kleineren Artgenossen gefressen und ist auf Fassgröße angeschwollen. Langsam, erdrückt aber mit purer Masse.","Слопал соседей поменьше и раздулся с бочку. Медлителен, но давит массой.","A dévoré ses congénères plus petits et a enflé jusqu'à la taille d'un tonneau. Lent, mais il écrase par sa masse.","Comeu os parentes menores e inchou até o tamanho de um barril. Lento, mas esmaga pela pura massa.","小さな仲間を食らって樽ほどに膨れ上がった。鈍重だが、その質量で押しつぶす。","吞掉了个头小的同类，胀成了一只酒桶。迟钝，却能靠体重压垮你。","Se comió a sus parientes más pequeños y se hinchó hasta el tamaño de un barril. Lento, pero aplasta con su pura masa."
enemy_descriptions.skeleton_archer,"Shot at the village for fun until no flesh was left on him. Strikes from afar, no armor.","Hat zum Spaß auf das Dorf geschossen, bis kein Fleisch mehr an ihm war. Trifft aus der Ferne, keine Rüstung.","Стрелял по деревне ради развлечения — своей плоти уже не осталось. Бьёт издали, брони нет.","Tirait sur le village pour s'amuser jusqu'à ce qu'il ne lui reste plus de chair. Frappe de loin, sans armure.","Atirava na aldeia por diversão até não sobrar carne nele. Ataca de longe, sem armadura.","遊び半分で村へ矢を放ち続け、ついに肉が残らなくなった。遠くから射るが、鎧はない。","为取乐朝村子放箭，直到身上一点肉都不剩。远程攻击，没有护甲。","Disparaba a la aldea por diversión hasta que no le quedó carne. Golpea de lejos, sin armadura."
enemy_descriptions.skeleton_warrior,"Doesn't remember who he was in life, but remembers how to hold a shield. Tougher than the archer, twice as mean.","Weiß nicht mehr, wer er im Leben war, aber weiß noch, wie man einen Schild hält. Zäher als der Bogenschütze, doppelt so bösartig.","Не помнит, кем был при жизни, зато помнит, как держать щит. Крепче лучника, злее вдвойне.","Ne se souvient plus de qui il était de son vivant, mais se souvient comment tenir un bouclier. Plus coriace que l'archer, deux fois plus méchant.","Não lembra quem foi em vida, mas lembra como segurar um escudo. Mais resistente que o arqueiro, o dobro de cruel.","生前の自分は覚えていないが、盾の構え方は覚えている。アーチャーより頑丈で、倍は凶暴だ。","不记得生前是谁，却记得怎么举盾。比弓箭手更硬，凶狠加倍。","No recuerda quién fue en vida, pero recuerda cómo sostener un escudo. Más duro que el arquero y el doble de cruel."
enemy_descriptions.elemental,"Broke free from a mage's cracked amulet. Lashes out with raw elements, but has nothing to shield itself.","Ist aus dem gesprungenen Amulett eines Magiers entwichen. Schlägt mit roher Elementarkraft zu, hat aber keinen Schutz.","Вырвался из треснувшего амулета мага. Бьёт стихией наотмашь, но защититься нечем.","S'est échappé de l'amulette fêlée d'un mage. Frappe à coups d'éléments bruts, mais n'a rien pour se protéger.","Escapou do amuleto rachado de um mago. Ataca com elementos puros, mas não tem como se proteger.","魔術師の割れた護符から解き放たれた。剥き出しの元素で殴りつけるが、身を守るものは何もない。","从法师破裂的护符中挣脱而出。以纯粹的元素猛击，却没有任何防护。","Se liberó del amuleto agrietado de un mago. Golpea con elementos puros, pero no tiene con qué protegerse."
enemy_descriptions.elemental_big,"The same amulet, only the mage poured all his remaining fury into it. Terrifying damage, zero armor.","Dasselbe Amulett, nur hat der Magier seine ganze verbliebene Wut hineingegossen. Schrecklicher Schaden, null Rüstung.","Тот же амулет, только маг влил в него всю оставшуюся ярость. Урон страшный, брони — ноль.","La même amulette, sauf que le mage y a versé toute sa fureur restante. Dégâts terrifiants, aucune armure.","O mesmo amuleto, só que o mago despejou nele toda a fúria que lhe restava. Dano aterrorizante, armadura zero.","同じ護符だが、魔術師が残る怒りをすべて注ぎ込んだ。ダメージは凄まじく、鎧は皆無。","还是那枚护符，只是法师把仅剩的怒火全灌了进去。伤害骇人，毫无护甲。","El mismo amuleto, solo que el mago vertió en él toda la furia que le quedaba. Daño aterrador, armadura cero."
enemy_descriptions.lizard,"Crawled out of the old catacombs and settled by the well. Thick hide, bites slowly but painfully.","Ist aus den alten Katakomben gekrochen und hat sich am Brunnen niedergelassen. Dicke Haut, beißt langsam, aber schmerzhaft.","Вылез из старых катакомб и облюбовал колодец. Шкура плотная, кусает не спеша, но больно.","A rampé hors des vieilles catacombes et s'est installé près du puits. Peau épaisse, mord lentement mais douloureusement.","Rastejou para fora das velhas catacumbas e se instalou perto do poço. Couro grosso, morde devagar mas dói.","古い地下墓地から這い出し、井戸のそばに住み着いた。皮は厚く、噛みつきは遅いが痛い。","从古老的地下墓穴爬出，占了那口井。皮糙肉厚，咬得慢却很疼。","Salió arrastrándose de las viejas catacumbas y se instaló junto al pozo. Piel gruesa, muerde despacio pero duele."
enemy_descriptions.lizard_warrior,"Leader of the catacomb pack, wears the trophy armor of the previous hero. Hardy and hits hard.","Anführer des Katakomben-Rudels, trägt die Trophäenrüstung des vorigen Helden. Zäh und schlägt hart zu.","Вожак стаи из катакомб, носит трофейные доспехи предыдущего героя. Живуч и бьёт крепко.","Chef de la meute des catacombes, il porte l'armure-trophée du héros précédent. Robuste et frappe fort.","Líder do bando das catacumbas, veste a armadura-troféu do herói anterior. Resistente e bate forte.","地下墓地の群れの長。前の英雄から奪った鎧を戦利品として身に着けている。しぶとく、一撃が重い。","地下墓穴群落的头目，披着上一位英雄的战利品铠甲。皮实，出手很重。","Líder de la manada de las catacumbas, viste la armadura-trofeo del héroe anterior. Resistente y golpea fuerte."
enemy_descriptions.dragon,"Ate the last hero and his horse, along with the tavern where the man had bragged of his victory. Be careful.","Hat den letzten Helden und sein Pferd gefressen, samt der Taverne, in der der Mann mit seinem Sieg geprahlt hatte. Sei vorsichtig.","Съел последнего героя и его лошадь — заодно и трактир, где тот хвастался победой. Осторожнее.","A dévoré le dernier héros et son cheval, ainsi que la taverne où l'homme s'était vanté de sa victoire. Sois prudent.","Comeu o último herói e o cavalo dele, junto com a taverna onde o homem se gabava da vitória. Cuidado.","前の英雄とその馬を食い、そいつが勝利を自慢していた酒場ごと平らげた。用心せよ。","吃掉了上一位英雄和他的马，连他吹嘘胜利的那家酒馆也一起吞了。当心。","Se comió al último héroe y a su caballo, junto con la taberna donde el hombre presumía de su victoria. Ten cuidado."
