Key,English,German,Russian,French,Portuguese,Japanese,Chinese,Spanish
dice_descriptions.default,Has no properties,Hat keine Eigenschaften,Свойств не имеет,N'a aucune propriété,Não possui propriedades,特性を持たない,没有特殊属性,No tiene propiedades
dice_descriptions.sharp,Its attack face counts as 2,Seine Angriffsseite zählt als 2,Его грань атаки даёт 2,Sa face d'attaque vaut 2,Sua face de ataque vale 2,攻撃の面が2になる,攻击面计为2,Su cara de ataque vale 2
dice_descriptions.sturdy,Its defense face counts as 2,Seine Verteidigungsseite zählt als 2,Его грань защиты даёт 2,Sa face de défense vaut 2,Sua face de defesa vale 2,防御の面が2になる,防御面计为2,Su cara de defensa vale 2
dice_descriptions.healing,Its heal face counts as 2,Seine Heilungsseite zählt als 2,Его грань лечения даёт 2,Sa face de soin vaut 2,Sua face de cura vale 2,回復の面が2になる,治疗面计为2,Su cara de curación vale 2
dice_descriptions.reliable,Never lands on the empty face,Landet nie auf der leeren Seite,Никогда не выпадает пустой гранью,Ne tombe jamais sur la face vide,Nunca cai na face vazia,空の面が出ない,永远不会掷出空面,Nunca cae en la cara vacía
dice_descriptions.thorns,Its defense face also deals 1 damage,Seine Verteidigungsseite verursacht zusätzlich 1 Schaden,Его грань защиты ещё и наносит 1 урон,Sa face de défense inflige aussi 1 dégât,Sua face de defesa também causa 1 de dano,防御の面が1ダメージも与える,防御面还会造成1点伤害,Su cara de defensa también inflige 1 de daño
dice_descriptions.vampiric,Its attack face also heals 1,Seine Angriffsseite heilt zusätzlich 1,Его грань атаки ещё и лечит на 1,Sa face d'attaque soigne aussi de 1,Sua face de ataque também cura 1,攻撃の面が1回復もする,攻击面还会恢复1点生命,Su cara de ataque también cura 1
dice_descriptions.golden,+1 to every die showing the same face,+1 für jeden Würfel mit derselben Seite,+1 каждому кубику с такой же гранью,+1 à chaque dé montrant la même face,+1 para cada dado com a mesma face,同じ面の全てのサイコロに+1,所有相同面的骰子+1,+1 a cada dado con la misma cara
dice_descriptions.joker,Its empty face becomes the most common face,Seine leere Seite wird zur häufigsten Seite,Его пустая грань становится самой частой гранью,Sa face vide devient la face la plus fréquente,Sua face vazia vira a face mais comum,空の面が最も多い面になる,空面会变成最常见的面,Su cara vacía se convierte en la cara más común
dice_descriptions.last_stand,"Once per battle, prevents death from a lethal hit, leaving 1 HP",Verhindert einmal pro Kampf den Tod durch einen tödlichen Treffer und lässt 1 HP übrig,"Один раз за бой не даёт погибнуть от смертельного удара, оставляя 1 HP","Une fois par combat, empêche la mort suite à un coup fatal, en laissant 1 PV","Uma vez por batalha, impede a morte por um golpe fatal, deixando 1 HP",戦闘中1回だけ、致命的な一撃による死亡を防ぎ、HPを1残す,每场战斗一次，免于致命一击死亡，保留1点生命值,"Una vez por batalla, evita la muerte por un golpe letal, dejando 1 PV"
dice_descriptions.additional_try,Grants another try,Gewährt einen weiteren Versuch,Даёт ещё попытку,Donne un essai supplémentaire,Concede mais uma tentativa,もう一回試せる,给予额外一次尝试,Otorga un intento más
dice_descriptions.additional_dice,Grants an extra slot,Gewährt einen zusätzlichen Slot,Даёт дополнительный слот,Donne un emplacement supplémentaire,Concede um espaço extra,追加スロットを得る,给予额外槽位,Otorga una ranura adicional
