Key,English,German,Russian,French,Portuguese,Japanese,Chinese,Spanish
innkeeper.msg[0],"Welcome, traveler!","Willkommen, Reisender!","Путник, добро пожаловать!","Bienvenue, voyageur !","Bem-vindo, viajante!",旅の方、ようこそ！,欢迎你，旅行者！,"¡Bienvenido, viajero!"
innkeeper.msg[1],Welcome to the tavern!,Willkommen in der Taverne!,Добро пожаловать в таверну!,Bienvenue à la taverne !,Bem-vindo à taverna!,酒場へようこそ！,欢迎来到酒馆！,¡Bienvenido a la taberna!
innkeeper.msg[2],Adventure awaits you!,Abenteuer erwarten dich!,Приключения ждут вас!,L'aventure vous attend !,A aventura espera por você!,冒険があなたを待っています！,冒险在等着你！,¡La aventura te espera!
innkeeper.msg[3],The roads are not safe these days.,Die Straßen sind dieser Tage nicht sicher.,На дорогах нынче не спокойно.,Les routes ne sont pas sûres ces temps-ci.,As estradas não estão seguras nos dias de hoje.,近頃は道中も物騒でしてね。,如今路上很不太平。,Los caminos no son seguros últimamente.
innkeeper.msg[4],Monsters have taken to attacking ordinary travelers.,Monster haben begonnen,gewöhnliche Reisende anzugreifen.,Монстры повадились нападать на простых путников.,Les monstres se sont mis à attaquer les simples voyageurs.,Os monstros passaram a atacar viajantes comuns.,魔物が普通の旅人を襲うようになったのです。,怪物开始袭击普通的旅人了。
innkeeper.msg[5],Troubled times have come.,Unruhige Zeiten sind angebrochen.,Не спокойные времена настали.,Des temps troublés sont arrivés.,Chegaram tempos difíceis.,不穏な時代がやってきました。,不太平的日子来了。,Han llegado tiempos turbulentos.
innkeeper.msg[6],Your presence is an honor for us!,Deine Anwesenheit ist eine Ehre für uns!,Ваше присутствие - это честь для нас!,Votre présence est un honneur pour nous !,Sua presença é uma honra para nós!,あなたのお越しは我々にとって光栄です！,您的光临是我们的荣幸！,¡Su presencia es un honor para nosotros!
innkeeper.msg[7],They say a hero has appeared who slays the undead.,"Man sagt, ein Held sei aufgetaucht, der die Untoten vernichtet.","Говорят, что появился герой, что истребляет нечисть.",On dit qu'un héros est apparu et qu'il extermine les morts-vivants.,Dizem que surgiu um herói que extermina os mortos-vivos.,アンデッドを討ち滅ぼす英雄が現れたという噂です。,据说出现了一位铲除亡灵的英雄。,Dicen que ha aparecido un héroe que extermina a los muertos vivientes.
innkeeper.msg[8],They say a great evil lurks in the ancient grove.,"Man sagt, ein großes Übel laure im uralten Hain.","Говорят, что великое зло затаилось в древней роще.",On dit qu'un grand mal se tapit dans le bosquet ancien.,Dizem que um grande mal se esconde no bosque antigo.,古の森に大いなる邪悪が潜んでいるという噂です。,据说古老的树林里潜伏着巨大的邪恶。,Dicen que un gran mal acecha en la arboleda ancestral.
innkeeper.msg[9],They say the dead are rising from their graves.,"Man sagt, die Toten erhöben sich aus ihren Gräbern.","Говорят, что мёртвые встают из могил.",On dit que les morts se relèvent de leurs tombes.,Dizem que os mortos estão se erguendo de suas sepulturas.,死者が墓から起き上がっているという噂です。,据说死者正从坟墓中爬起。,Dicen que los muertos se levantan de sus tumbas.
